"
",name,jp,difficulty,time,skill,#timey,#8.4 diff,*ms: 9.5,*bottle: 2,*hookshot: 2.75,*gclw: 1,selfsynergy,childchu,chuczl,botwrupee,ganonchu,hovers,endon,childtrade,saria,czl,poachers,bothzl,lightarrow,claimcheck,magic,forest,meg,quiver,pg,gtunic,dmc,dmcchild,fire,fountain,jabu,ice,irons,lonlon,water,longshot,shadow,fortress,gtg,spirit,deku,bganon,aganon,cganon,dc,kd,childreset,beans,swords,child2,marketgs,froghp,map,compass,bosskey,bosskey2,bossdoor,songs4,songs5,songs10,hearts3,hearts4,skulls,silverrupee,goldrupee,strength,bottleslot,bulletbag,bombbag,bbprize,sticks,dins,firearrow,inctunic,incboot,incshield,incsword,incsongs,inchearts,incbeans,incmc,incbk,inclhskull,incirons,incmirror,inclong,incgorons,incwskull,inczoraskull,incgcard,incgtgkey,incctrade,incsaria,incfairy,incforest,incflare,incfirebk,incarrows,incshtrial,incgohma,incdodongo,incbarinade,incfboss,incvolvagia,incwboss,incshboss,incspboss,inclacs,incskulls,incsilvers,incgolds,incbkdoor,incranchskulls,legitlacs
,3 Shields,盾3種,14,10.5,0.75,9.75,12,2.5,0,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,3.5,,,,,,,,,,,,,*3,*1,*3,*5,,,*0.75,,*0.5,*0.5,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Shields & 3 Boots,盾3種、靴3種,20,15,0.75,14.25,22,5.5,0.5,100,1,0,,,,,2.5,-0.5,,,,*0.25,,,,,,,,,,,,,2,,1.5,2,,,,,2.5,1.5,3.5,,,,,,,,,,,,,*6,*4,*3,*5,,*1.5,*0.75,,*1.5,*0.75,*1.5,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Shields & 3 Tunics,盾3種、服3種,17,13,0.75,12.25,19,100,0.5,100,1,0,,,,,2.5,,,,,*0.25,,,,,,,,,1,*0.25,,,1.5,,,,,,,,2.5,1.5,3.5,,,,,,,,,,,,,*4.5,*2.5,*3.25,*5,,,*0.75,,*0.5,*0.5,*1,,,,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Skulltulas in Water Temple,水の神殿の黄金のスタルチュラ3匹以上,13,9.5,0.5,9,16,7,100,100,0.5,0,*-2.5,,*-1,,*0.5,,,,,,,,,,,,,,,,,,,,1.5,2,,3,2,,,,,,,*0.25,,2,,,,,,,,*2.5,*2.5,,,,,,,*1.5,*2.5,*1.5,,,,,,,*-4,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Songs,歌3つ以上,5,4,,4,3,3.75,100,0.5,0,0,,,,,,,,*1.75,*1,3.5,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,*0.5,,*0.25,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Swords & 3 Boots,剣3種、靴3種,11,8.5,0.25,8.25,13,100,100,0.5,1,0,*-1,,,,2.5,-0.5,,,,*0.25,,,,,,,,,,,,,2,,1.5,2,,,,,,,,,,,,,,,,3,,,,*3,*3,,,,*1.5,,,*1,*0.25,*1,,,,,*-3,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Swords & 3 Shields,剣3種、盾3種,16,11.75,0.75,11,17,100,100,100,1,0,*-1,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,3.5,,,,,,,,,3,,,,*3,*1,*3,*5,,,*0.75,,*0.5,*0.5,*0.75,,,,,*-3,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Swords & 3 Tunics,剣3種、服3種,5,3.75,,3.75,9,100,100,0,1,0,*-1,,,,,,,,,,,,,,,,,,1,*0.25,,,1.5,,,,,,,,,,,,,,,,,,,3,,,,,*1,*0.25,,,,,,*0.5,,*0.5,,,,,*-3,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3 Swords, Tunics, Boots, and Shields",剣3種、盾3種、服3種、靴3種,24,17.75,0.75,17,25,100,100,100,1,-1,,,,,2.5,-0.5,,,,*0.25,,,,,,,,,1,*0.25,,,1.5,,1.5,2,,,,,2.5,1.5,3.5,,,,,,,,,3,,,,*6,*4,*3.25,*5,,*1.5,*0.75,,*1.5,*0.75,*1.5,,,,,*-3,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Tunics,服3種,3,2.5,,2.5,5,100,0,0,1,0,,,,,,,,,,,,,,,,,,,1,*0.25,,,1.5,,,,,,,,,,,,,,,,,,,,,,,*1.5,*1.5,*0.25,,,,,,*0.5,,*0.5,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Tunics & 3 Boots,服3種、靴3種,12,8.75,0.25,8.5,14,100,0,0.5,1,0,,,,,2.5,-0.5,,,,*0.25,,,,,,,,,1,*0.25,,,2,,1.5,2,,,,,,,,,,,,,,,,,,,,*3,*3,*0.25,,,*1.5,,,*1,*0.25,*1,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Unused Keys in Gerudo Training Grounds,ゲルドの修練場の未使用の鍵3つ,8,6,0.25,5.75,6,0,0,1,0,0,,,,,*0.75,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,*3,,*3,,,,,,,*0.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
,30 Deku Nuts,デクの実30個以上,1,1,,1,1,0,0,0,0.5,0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37th Heart Piece (Child Fortress),37番目のハートのかけら(子供のゲルドの砦),8,6,0.25,5.75,10,0,0,0,0,0,,,,,,,,,,*2.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,*2,1.25,,,*2,,,*2,,*2,,,,,,*0.75,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Compasses,コンパス4つ,8,6,,6,7,0.75,0,0.5,0.5,-3,0,,,*-0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7,7,,*2,,,,,,*1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Maps,マップ4つ,5,3.5,,3.5,6,0.5,0,0.5,0.5,-3,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,*6,,*2,,,,,,*1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Skulltulas in Shadow Temple,闇の神殿の黄金のスタルチュラ4匹以上,13,9.5,0.5,9,11,6,0,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,*1,,*2,,,,,,,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Songs,歌4つ以上,5,4,,4,7,5.75,100,0.5,1,0,*-2.5,,*-1,,,,,*1.75,*1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,,,,3,2,,*1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Unused Keys in Forest Temple,森の神殿の未使用の小さな鍵4つ,8,6.25,,6.25,11,3,0.5,100,1,0,,,,,*0.75,,,,,,,,,,3,,,,,,,,,,,*0.75,,,,,,,,,,,,,,,,,,,,*3,,,*3,,,*1.5,,,*1,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,4 Unused Keys in Gerudo Training Grounds,ゲルドの修練場の未使用の鍵4つ,7,5.25,0.25,5,7,0,0,1,0,0,,,,,*0.5,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,*3,,*3,,,,,,,*0.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
,5 Compasses,コンパス5つ,12,9.25,0.25,9,12,2,0,0.5,1,-3,0,,,*-0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*10,10,,*2,,,,,*1.5,*1,*1,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Hearts,ハート5つ,3,2.5,,2.5,5,1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Magic Beans,魔法のマメ5つ以上,3,2.25,,2.25,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.75,,*3,,,,,,,,,,,,,*0.25,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Maps,マップ5つ,9,7,0.25,6.75,11,1.5,0,0.5,1,-3,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,*9,,*2,,,,,*1,*1,*0.5,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Unused Keys in Gerudo Training Grounds,ゲルドの修練場の未使用の鍵5つ,9,7,0.25,6.75,8,0,0,1,0,0,,,,,*0.75,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,*3,,*3,,,,,,,*0.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
,5 Zora area HPs,ゾーラエリアのハートのかけら5つ以上,14,10.5,0.5,10,11,100,0,0.5,1,0,,,,,*0.75,,,,,,,,,,,,,,,,,,2,,1.5,2,,,,,,,,,,,,,,,*0.5,,*2,,*2,*3,*3,,,,,,,*3,*0.25,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500 Rupees,500ルピー,7,5.25,0.25,5,9,7,100,2,0,-3,*-2.5,,*-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Compasses,コンパス6つ,17,13,0.5,12.5,19,3,0,0.5,1,-3,0,,,*-0.5,2.5,,,,,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*15,15,,*2,,,,,*1.5,*1,*1,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Hearts,ハート6つ,8,6.25,0.25,6,8,2,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Maps,マップ6つ,14,10.5,0.5,10,16,2.5,0,0.5,1,-3,0,,,*-1.0,2.5,,,,,*0.75,,,*3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,*15,,*2,,,*1.5,,*1,*1.5,*0.75,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Songs,歌6つ以上,6,4.75,,4.75,10,100,100,0.5,1,0,*-2.5,,*-1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,,,,,1.25,,*1.5,,*0.25,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Unused Keys in Gerudo Training Grounds,ゲルドの修練場の未使用の鍵6つ,12,9.25,0.5,8.75,10,0,0,1,0,0,,,,,*0.75,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,*3,,*3,,,,,,,*0.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
,7 Compasses,コンパス7つ,23,17,1,16,25,5,0.5,100,1,-3,0,,,*-0.5,2.5,,,,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*22,22,,*2,,,,,*1.5,*2,*1,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Different Unused Keys in Gerudo Training Grounds,ゲルドの修練場の未使用の鍵7つ(増殖禁止),13,9.75,0.5,9.25,14,1,100,100,0,0,,,,,*0.75,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,*3,,*3,,,,,,,*0.25,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
,7 Hearts,ハート7つ,11,8.5,0.5,8,13,4,0,0.5,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.5,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Magic Beans,魔法のマメ7つ以上,8,6,0.25,5.75,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.75,,*3,,,,,,,,,,,,,*0.25,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Maps,マップ7つ,19,14.5,0.5,14,23,4,0.5,1,1,-3,0,,,*-1.5,2.5,,,,,*1.5,,,*6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,*20,,*2,,,*1.5,,*1,*2.5,*0.75,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Songs,歌7つ以上,9,6.5,,6.5,12,100,100,0.5,1,0,*-2.5,,*-1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,,,,,,,*2,,,,,*1.5,,,,3.25,,*0.5,,*0.5,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8 Different Unused Keys in Gerudo Training Grounds,ゲルドの修練場の未使用の鍵8つ(増殖禁止),14,10.5,0.5,10,17,7,100,100,0,0,*-2.5,,*-1,,*0.75,-0.25,,,,,,,,,,,4.5,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,*3,,*3,,,,,,,*0.25,*0.25,,,,,*100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
,8 Hearts (no duping),ハート8つ(複製禁止),17,12.75,0.75,12,19,9,0,1,1,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,*0.75,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8 Songs,歌8つ以上,10,7.75,0,7.75,14,100,100,0.5,1,0,*-2.5,,*-1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,*1.5,,,,5.5,,*1.5,,*0.5,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Hearts (no duping),ハート9つ(複製禁止),23,17,1,16,24,100,0,1,1,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,*1,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Songs,歌9つ以上,14,10.75,,10.75,18,100,100,0.5,1,0,*-2.5,,*-1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,*1.5,,,,8.75,,*1.5,,*0.75,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 3 Elemental Arrows,魔法矢3つ,22,16.25,0.5,15.75,,100,100,1.5,1,-0.5,*-2.5,,*-1,,*0.5,-1,,,,3.5,,4.5,,,,,*4.5,,,,,,,,,,,,,,3,1,,,,*1,,,*2,,,,,,,*3,,*10,*10,,,,,*1.5,*0.75,*0.25,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,100
,All 3 Kokiri Forest area Skulltulas,コキリの森エリアの黄金のスタルチュラ３匹,6,4.5,,4.5,5,100,100,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,1.25,,,*1,,,,,,,,,,,,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 3 Skulltulas in Bottom of the Well,井戸の底の黄金のスタルチュラ3匹,4,3,0.75,2.25,6,0,0,0,0,0,0,,,*-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 3 Skulltulas in Ice Cavern,氷の洞窟の黄金のスタルチュラ3匹,6,4.25,0.25,4,6,1,0,1.5,1,0,,,,,*0.5,,,,,,,,,,,,,,,,,,2,,1.5,0.5,,,,,,,,,,,,,,,,,,,,*3,*3,,,,,,,*1,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Gerudo Valley area Skulltulas,ゲルドの谷エリアの黄金のスタルチュラ4匹,9,7,0.25,6.75,15,100,100,2,0,0,0,,,,*0.25,,,,,,,,,,,,,,,,,,,*0.5,,,,,,,2,,,,,,,,,,,,*1.5,,,*1.5,,*1.5,,,,,,*0.5,*0.25,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Lon-Lon Ranch area Skulltulas,ロンロン牧場エリアの黄金のスタルチュラ4匹,8,5.75,0.75,5,14,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,*2.75,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
,All 4 Lost Woods area Skulltulas,迷いの森エリアの黄金のスタルチュラ4匹,7,5.25,,5.25,7,100,100,2,1,0,,,,,,,,0.25,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,*1,,,,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Market area Skulltulas,城下町エリアの黄金のスタルチュラ4匹,21,16,0.5,15.5,21,100,100,100,1,0,,,,,2.5,0,,,,*0.25,,,,,3,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,*2,*1,,*2,,*1.5,*2,,*3,*1,*2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
,All 4 Skulltulas in Deku Tree,デクの樹様の中の黄金のスタルチュラ4匹,10,7.25,0.25,7,11,0,0,1,0,0,,,,,*1,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,*2,*3,,,,,,,*0.5,*1,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Skulltulas in Jabu-Jabu,ジャブジャブ様のお腹の黄金のスタルチュラ4匹,6,4.5,0.25,4.25,12,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,,,,,*0.5,,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Wasteland/ Colossus area Skulltulas,幻影の砂漠・巨大邪神像エリアの黄金のスタルチュラ4匹,13,9.75,0.5,9.25,20,100,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,,,,,,,*1.25,,,*1,,,*1.5,,*2,*4,,,*3,*-5,,*0.25,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 5 Lake Hylia Skulltulas,ハイリア湖畔エリアの黄金のスタルチュラ5匹,16,12,0.5,11.5,21,100,100,100,1,0,,,,,*0.25,,,,,,,,,,,,,,,,,,2,,1.5,2,,1,,,,,,,,,,,,,,,*3,,,*4,*4,,,,,,,*1,*0.25,*2.5,,,,*2,,,,,,,,,,,,,,,,100,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 5 Skulltulas in Dodongo's Cavern,ドドンゴの洞窟の黄金のスタルチュラ5匹,8,5.75,,5.75,9,1.5,0,0.25,0.5,0,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,*1,*2,,,,,,,*1,*1,*2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 5 Skulltulas in Fire Temple,炎の神殿の黄金のスタルチュラ5匹,16,12,0.5,11.5,18,11,0,100,1,0,,,,,*0.25,,,,,,,,,,,,,,*0.75,1,,4.75,,,,,,,*1,,,,,,,,,,,,,,,,,*3,*2,*2,,,,*1.25,,*0.5,*1,*2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 5 Skulltulas in Forest Temple,森の神殿の黄金のスタルチュラ5匹,9,6.75,0.25,6.5,11,4,100,100,1,0,,,,,*0.75,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2.75,*1,,*5,,,*1.5,,,*1,*2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
